SOILCODE,imWEBsCODE,SNAM,TEXTURE
1,2,ASZ,LS
2,9,ATN,CL
3,12,BEO,C
4,12,BMG,C
5,2,BNF,LS
6,12,BNI,C
7,12,BUM,C
8,9,CTZ,CL
9,9,CZK,CL
10,9,DGF,CL
11,12,DHO,C
12,2,DXT,LS
13,6,DZW,L
14,9,EGF,CL
15,9,ERX,CL
16,9,FFR,CL
17,9,FRS,CL
18,2,FTN,LS
19,9,FWK,CL
20,6,GCS,L
21,12,GRA,C
22,9,GRR,CL
23,9,HOS,CL
24,9,JIS,CL
25,9,JYL,CL
26,12,KDA,C
27,6,KIS,L
28,9,KUD,CL
29,2,LRY,LS
30,2,NBG,SL
31,9,NKK,CL
32,9,NWN,CL
33,9,OAY,CL
34,3,OWK,SL
35,6,PBI,L
36,9,PER,CL
37,12,PME,C
38,9,PYR,CL
39,6,RFD,L
40,6,RSI,L
41,6,SXG,L
42,9,TLI,CL
43,9,ULH,CL
44,12,WIK,C
45,9,ZPI,CL
1,2,ASZ,LS
2,9,ATN,CL
3,12,BEO,C
4,12,BMG,C
5,2,BNF,LS
6,12,BNI,C
7,12,BUM,C
8,9,CTZ,CL
9,9,CZK,CL
10,9,DGF,CL
11,12,DHO,C
12,2,DXT,LS
13,6,DZW,L
14,9,EGF,CL
15,9,ERX,CL
16,9,FFR,CL
17,9,FRS,CL
18,2,FTN,LS
19,9,FWK,CL
20,6,GCS,L
21,12,GRA,C
22,9,GRR,CL
23,9,HOS,CL
24,9,JIS,CL
25,9,JYL,CL
26,12,KDA,C
27,6,KIS,L
28,9,KUD,CL
29,2,LRY,LS
30,2,NBG,SL
31,9,NKK,CL
32,9,NWN,CL
33,9,OAY,CL
34,3,OWK,SL
35,6,PBI,L
36,9,PER,CL
37,12,PME,C
38,9,PYR,CL
39,6,RFD,L
40,6,RSI,L
41,6,SXG,L
42,9,TLI,CL
43,9,ULH,CL
44,12,WIK,C
45,9,ZPI,CL
1,2,ASZ,LS
2,9,ATN,CL
3,12,BEO,C
4,12,BMG,C
5,2,BNF,LS
6,12,BNI,C
7,12,BUM,C
8,9,CTZ,CL
9,9,CZK,CL
10,9,DGF,CL
11,12,DHO,C
12,2,DXT,LS
13,6,DZW,L
14,9,EGF,CL
15,9,ERX,CL
16,9,FFR,CL
17,9,FRS,CL
18,2,FTN,LS
19,9,FWK,CL
20,6,GCS,L
21,12,GRA,C
22,9,GRR,CL
23,9,HOS,CL
24,9,JIS,CL
25,9,JYL,CL
26,12,KDA,C
27,6,KIS,L
28,9,KUD,CL
29,2,LRY,LS
30,2,NBG,SL
31,9,NKK,CL
32,9,NWN,CL
33,9,OAY,CL
34,3,OWK,SL
35,6,PBI,L
36,9,PER,CL
37,12,PME,C
38,9,PYR,CL
39,6,RFD,L
40,6,RSI,L
41,6,SXG,L
42,9,TLI,CL
43,9,ULH,CL
44,12,WIK,C
45,9,ZPI,CL
1,2,ASZ,LS
2,9,ATN,CL
3,12,BEO,C
4,12,BMG,C
5,2,BNF,LS
6,12,BNI,C
7,12,BUM,C
8,9,CTZ,CL
9,9,CZK,CL
10,9,DGF,CL
11,12,DHO,C
12,2,DXT,LS
13,6,DZW,L
14,9,EGF,CL
15,9,ERX,CL
16,9,FFR,CL
17,9,FRS,CL
18,2,FTN,LS
19,9,FWK,CL
20,6,GCS,L
21,12,GRA,C
22,9,GRR,CL
23,9,HOS,CL
24,9,JIS,CL
25,9,JYL,CL
26,12,KDA,C
27,6,KIS,L
28,9,KUD,CL
29,2,LRY,LS
30,2,NBG,SL
31,9,NKK,CL
32,9,NWN,CL
33,9,OAY,CL
34,3,OWK,SL
35,6,PBI,L
36,9,PER,CL
37,12,PME,C
38,9,PYR,CL
39,6,RFD,L
40,6,RSI,L
41,6,SXG,L
42,9,TLI,CL
43,9,ULH,CL
44,12,WIK,C
45,9,ZPI,CL
1,2,ASZ,LS
2,9,ATN,CL
3,12,BEO,C
4,12,BMG,C
5,2,BNF,LS
6,12,BNI,C
7,12,BUM,C
8,9,CTZ,CL
9,9,CZK,CL
10,9,DGF,CL
11,12,DHO,C
12,2,DXT,LS
13,6,DZW,L
14,9,EGF,CL
15,9,ERX,CL
16,9,FFR,CL
17,9,FRS,CL
18,2,FTN,LS
19,9,FWK,CL
20,6,GCS,L
21,12,GRA,C
22,9,GRR,CL
23,9,HOS,CL
24,9,JIS,CL
25,9,JYL,CL
26,12,KDA,C
27,6,KIS,L
28,9,KUD,CL
29,2,LRY,LS
30,2,NBG,SL
31,9,NKK,CL
32,9,NWN,CL
33,9,OAY,CL
34,3,OWK,SL
35,6,PBI,L
36,9,PER,CL
37,12,PME,C
38,9,PYR,CL
39,6,RFD,L
40,6,RSI,L
41,6,SXG,L
42,9,TLI,CL
43,9,ULH,CL
44,12,WIK,C
45,9,ZPI,CL
1,2,ASZ,LS
2,9,ATN,CL
3,12,BEO,C
4,12,BMG,C
5,2,BNF,LS
6,12,BNI,C
7,12,BUM,C
8,9,CTZ,CL
9,9,CZK,CL
10,9,DGF,CL
11,12,DHO,C
12,2,DXT,LS
13,6,DZW,L
14,9,EGF,CL
15,9,ERX,CL
16,9,FFR,CL
17,9,FRS,CL
18,2,FTN,LS
19,9,FWK,CL
20,6,GCS,L
21,12,GRA,C
22,9,GRR,CL
23,9,HOS,CL
24,9,JIS,CL
25,9,JYL,CL
26,12,KDA,C
27,6,KIS,L
28,9,KUD,CL
29,2,LRY,LS
30,2,NBG,SL
31,9,NKK,CL
32,9,NWN,CL
33,9,OAY,CL
34,3,OWK,SL
35,6,PBI,L
36,9,PER,CL
37,12,PME,C
38,9,PYR,CL
39,6,RFD,L
40,6,RSI,L
41,6,SXG,L
42,9,TLI,CL
43,9,ULH,CL
44,12,WIK,C
45,9,ZPI,CL
