storage,area,discharge
0.0,0.0,0.0
0.0,0.0,0.03428385
112.11,0.2,0.04714192
224.22,0.62,0.05142577
336.32,0.83,0.06444897
448.43,1.24,0.06889115
1121.08,2.05,0.08799879
1457.4,3.45,0.09199634
1905.83,5.11,0.09799756
2242.15,6.51,0.1010536
2690.58,8.36,0.1042114
3251.12,10.68,0.1063154
3923.77,13.82,0.1084227
4596.41,16.95,0.1105268
5269.06,20.08,0.1126309
6053.81,24.25,0.1147382
6838.57,28.43,0.1168423
7735.43,33.2,0.1189464
8240.0,39.0,0.12
9304.93,43.53,0.1999522
10201.8,48.3,0.2800265
11098.7,53.87,0.3599788
11995.5,59.44,0.4000159
12892.4,66.13,0.4799681
13901.3,73.66,0.5200053
14798.2,79.23,0.5999575
15807.2,86.71,0.6399947
16704.0,93.4,0.6800318
17600.9,98.97,0.7599841
18609.9,106.5,0.8000212
19506.7,113.19,0.8799734
20515.7,120.67,0.9200106
21524.7,128.2,0.9599257
22421.5,134.89,1.04
23430.5,142.42,1.12185
24439.5,149.89,1.20395
25336.3,156.59,1.3679
26345.3,164.12,1.45
27354.3,171.65,1.551517
28251.1,178.29,1.754242
29260.1,185.82,1.855759
30269.1,193.35,1.956966
31165.9,200.04,2.16
32174.9,207.57,2.271994
33071.7,213.11,2.496667
34080.7,222.54,2.609003
35089.7,230.07,2.720997
36098.7,237.6,2.94567
37107.6,245.07,3.057664
38004.5,251.76,3.17
39013.5,261.19,3.315148
40022.4,268.72,3.605
41031.4,276.2,3.750148
41928.3,282.89,3.894852
42600.9,292.93,4.04
